Android (23/6.0; 320dpi; 720x1280; Meizu; M5s; M5s; mt6735; tr_TR;
Android (25/7.1.1; 420dpi; 1080x2094; samsung; SM-A530F; jackpotlte; samsungexynos7885; tr_TR;
Android (22/5.1.1; 240dpi; 480x800; samsung; SM-J120H; j1x3g; sc8830; tr_TR;
Android (19/4.4.2; 240dpi; 480x854; HUAWEI; HUAWEI Y541-U02; HWY541-U; sc8830; tr_TR;
Android (25/7.1.1; 420dpi; 1080x2220; samsung; SM-A730F; jackpot2lte; samsungexynos7885; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-J530F; j5y17lte; samsungexynos7870; tr_TR;
Android (21/5.0; 640dpi; 1440x2392; LGE/lge; LG-D855; g3; g3; tr_TR;
Android (19/4.4.2; 480dpi; 1080x1776; LGE/lge; LG-D802; g2; g2; tr_TR))
Android (26/8.0.0; 480dpi; 1080x2076; samsung; SM-N950F; greatlte; samsungexynos8895; tr_TR;
Android (23/6.0.1; 480dpi; 1080x1920; Xiaomi; Redmi Note 3; kate; qcom; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-A310F; a3xelte; samsungexynos7580; tr_TR;
Android (26/8.0.0; 480dpi; 1080x1920; Xiaomi; MI 6; sagit; qcom; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-J530FM; j5y17lte; samsungexynos7870; tr_TR;
Android (22/5.1; 320dpi; 720x1184; HUAWEI; HUAWEI CUN-U29; HWCUN-U6582; mt6582; tr_TR;
Android (21/5.0.2; 160dpi; 768x1024; samsung; SM-T555; gt510lte; qcom; tr_TR))
Android (23/6.0; 480dpi; 1080x1920; Meizu; M5 Note; m1621; mt6755; tr_TR;
Android (23/6.0.1; 640dpi; 1440x2560; motorola; XT1254; quark; qcom; tr_TR;
Android (24/7.0; 640dpi; 1440x2560; samsung; SM-G935F; hero2lte; samsungexynos8890; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-A710F; a7xelte; samsungexynos7580; tr_TR;
Android (23/6.0; 320dpi; 720x1280; meizu; M5c; M5c; mt6735; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; Xiaomi; MI 5; gemini; qcom; tr_TR;
Android (25/7.1.2; 440dpi; 1080x2030; Xiaomi/xiaomi; Redmi 5 Plus; vince; qcom; tr_TR;
Android (24/7.0; 320dpi; 720x1280; Blackview; BV6000; Blackview; mt6755; tr_TR;
Android (24/7.0; 420dpi; 1080x1920; samsung; SM-J730FM; j7y17lte; samsungexynos7870; tr_TR;
Android (22/5.1.1; 240dpi; 480x800; samsung; SM-G361H; coreprimeve3g; sc8830; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-A720F; a7y17lte; samsungexynos7880; tr_TR;
Android (21/5.0; 480dpi; 1080x1920; samsung; SM-N9000Q; ha3g; universal5420; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-J710F; j7xelte; samsungexynos7870; tr_TR;
Android (23/6.0; 320dpi; 720x1280; Meizu; M5s; M5s; mt6735; tr_TR;
Android (26/8.0.0; 480dpi; 1080x2076; samsung; SM-G950F; dreamlte; samsungexynos8895; tr_TR;
Android (24/7.0; 320dpi; 720x1208; HUAWEI; SLA-L22; HWSLA-Q; qcom; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; Xiaomi; Redmi 3S; land; qcom; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-G930F; herolte; samsungexynos8890; tr_TR;
Android (23/6.0.1; 480dpi; 1080x1920; Xiaomi; Redmi Note 3; kenzo; qcom; tr_TR;
Android (23/6.0.1; 480dpi; 1080x1920; samsung; SM-G900H; k3g; universal5422; tr_TR;
Android (21/5.0.1; 480dpi; 1080x1794; HUAWEI; HUAWEI GRA-UL00; HWGRA; hi3635; tr_TR;
Android (22/5.1; 320dpi; 720x1280; Meizu; m2; m2; mt6735; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; Xiaomi; Redmi 3S; land; qcom; tr_TR;
Android (22/5.1; 320dpi; 720x1184; HUAWEI; HUAWEI TIT-U02; HWTIT-U6582; mt6582; tr_TR;
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi; Redmi 4X; santoni; qcom; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; samsung; SM-J500H; j53g; qcom; tr_TR;
Android (22/5.1.1; 320dpi; 720x1280; Xiaomi; Redmi 3; ido; qcom; tr_TR;
Android (26/8.0.0; 480dpi; 1080x1920; Xiaomi/xiaomi; Mi A1; tissot_sprout; qcom; tr_TR;
Android (25/7.1.2; 440dpi; 1080x2030; Xiaomi/xiaomi; Redmi 5 Plus; vince; qcom; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; samsung; SM-J327P; j3popltespr; qcom; tr_TR;
Android (23/6.0.1; 640dpi; 1440x2560; HTC/htc; HTC 10; htc_pmewhl; htc_pme; tr_TR;
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi; Redmi 4X; santoni; qcom; tr_TR;
Android (26/8.0.0; 560dpi; 1440x2792; samsung; SM-G955F; dream2lte; samsungexynos8895; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-G930F; herolte; samsungexynos8890; tr_TR;
Android (18/4.3; 320dpi; 768x1174; RIM/BlackBerry; Z10; Z10; STL100-3; tr_TR))
Android (25/7.1.1; 560dpi; 1440x2392; motorola/google; Nexus 6; shamu; shamu; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; OUKITEL; U20 Plus; pri6737t_66_m0; mt6735; tr_TR;
Android (19/4.4.2; 160dpi; 1024x552; LENOVO/Lenovo; LenovoA3300-HV; A3300-HV; mt8382; tr_TR;
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi/xiaomi; Redmi Note 5A; ugglite; qcom; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; Xiaomi; Redmi 4; prada; qcom; tr_TR;
Android (22/5.1; 240dpi; 480x854; LENOVO/Lenovo; Lenovo A2010-a; A2010-a; mt6735; tr_TR;
Android (22/5.1.1; 480dpi; 1080x1776; ZUK; ZUK Z1; Z1; qcom; tr_TR;
Android (23/6.0; 320dpi; 720x1184; myPhone; HAMMER_ENERGY; HAMMER_ENERGY_PLAY; mt6735; tr_TR;
Android (21/5.0.2; 320dpi; 720x1280; asus; ASUS_Z010D; ASUS_Z010; qcom; tr_TR;
Android (24/7.0; 320dpi; 720x1280; WIKO; HARRY; v3953; mt6735; tr_TR;
Android (22/5.1; 240dpi; 480x854; HUAWEI; HUAWEI LUA-U22; HWLUA-U6582; mt6582; tr_TR;
Android (19/4.4.2; 320dpi; 720x1184; HTC/htc; HTC D816v; htc_a5dwgl; qcom; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; Xiaomi; Redmi 3S; land; qcom; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; samsung; SM-J700H; j7e3g; samsungexynos7580; tr_TR;
Android (17/4.2.2; 320dpi; 720x1184; HTC/htc; HTC Desire 616 dual sim; htc_v3_dug; mt6592; tr_TR))
Android (24/7.0; 320dpi; 720x1280; samsung; SM-J710F; j7xelte; samsungexynos7870; tr_TR;
Android (22/5.1; 320dpi; 720x1280; Meizu; M3s; M3s; mt6755; tr_TR;
Android (24/7.0; 640dpi; 1440x2560; samsung; SM-G925F; zerolte; samsungexynos7420; it_IT
Android (24/7.0; 320dpi; 720x1280; samsung; SM-J530FM; j5y17lte; samsungexynos7870; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-J710F; j7xelte; samsungexynos7870; tr_TR;
Android (23/6.0; 320dpi; 720x1280; Meizu; M5s; M5s; mt6735; tr_TR;
Android (25/7.1.1; 320dpi; 720x1280; samsung; SM-J510H; j5x3g; qcom; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; Xiaomi; Redmi 3S; land; qcom; tr_TR;
Android (21/5.0.2; 480dpi; 1080x1920; Xiaomi; Redmi Note 2; hermes; mt6795; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Meizu; M5 Note; M5Note; mt6755; tr_TR;
Android (24/7.0; 420dpi; 1080x1920; samsung; SM-G935F; hero2lte; samsungexynos8890; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; asus; ASUS_Z010D; ASUS_Z010; qcom; tr_TR;
Android (22/5.1.1; 240dpi; 540x960; samsung; SM-G531H; grandprimeve3g; sc8830; tr_TR;
Android (22/5.1; 320dpi; 1280x720; Meizu; M3s; M3s; mt6755; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; samsung; SM-J500H; j53g; qcom; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Meizu; U20; U20; mt6755; tr_TR;
Android (22/5.1; 320dpi; 720x1184; HUAWEI; HUAWEI TIT-U02; HWTIT-U6582; mt6582; tr_TR;
Android (21/5.0.2; 480dpi; 1080x1920; Xiaomi; Redmi Note 2; hermes; mt6795; tr_TR;
Android (22/5.1.1; 240dpi; 480x800; samsung; SM-J120H; j1x3g; sc8830; tr_TR;
Android (24/7.0; 408dpi; 1080x1920; Elephone; P8_Mini; P8_Mini; mt6755; tr_TR;
Android (23/6.0.1; 320dpi; 1280x720; samsung; SM-J500H; j53g; qcom; tr_TR))
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi/xiaomi; Redmi Note 5A; ugglite; qcom; tr_TR;
Android (24/7.0; 320dpi; 720x1196; Meizu; MEIZU M6; meizu_M6; mt6755; tr_TR;
Android (23/6.0.1; 160dpi; 800x1232; LENOVO/Lenovo; Lenovo TB2-X30F; TB2-X30F; qcom; tr_TR;
Android (21/5.0.2; 320dpi; 720x1280; Prestigio; PSP3504DUO; PSP3504DUO; mt6582; tr_TR;
Android (19/4.4.4; 320dpi; 720x1280; LENOVO/Lenovo; Lenovo Vibe Z2; z2r; qcom; tr_TR;
Android (25/7.1.1; 320dpi; 720x1280; samsung; SM-J510H; j5x3g; qcom; tr_TR;
Android (26/8.0.0; 640dpi; 1440x2768; samsung; SM-G950F; dreamlte; samsungexynos8895; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; Xiaomi; Redmi 3S; land; qcom; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-A520F; a5y17lte; samsungexynos7880; tr_TR;
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi; Redmi 4A; rolex; qcom; tr_TR;
Android (24/7.0; 480dpi; 1080x1794; HUAWEI; VIE-L29; HWVIE; hi3650; tr_TR;
Android (23/6.0; 320dpi; 720x1280; meizu; M5c; M5c; mt6735; tr_TR;
Android (22/5.1.1; 240dpi; 540x960; samsung; SM-G531H; grandprimeve3g; sc8830; tr_TR;
Android (22/5.1; 480dpi; 1080x1920; Meizu; m3 note; m3note; mt6755; tr_TR;
Android (23/6.0; 320dpi; 720x1280; Meizu; M5s; M5s; mt6735; ru;
Android (22/5.1; 320dpi; 720x1280; Meizu; M3s; M3s; mt6755; tr_TR;
Android (23/6.0; 320dpi; 720x1280; HOMTOM; HT20; HT20; mt6735; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; LENOVO/Lenovo; Lenovo K53a48; K53a48; qcom; tr_TR;
Android (24/7.0; 320dpi; 720x1280; Ergo; Force F500; H81; mt6580; tr_TR;
Android (22/5.1; 480dpi; 1080x1920; Meizu; m2 note; m2note; mt6735; tr_TR;
Android (23/6.0; 320dpi; 720x1280; ZTE; ZTE BLADE A601; ZTE_BLADE_A601; mt6735; tr_TR;
Android (23/6.0; 240dpi; 480x854; LENOVO/Lenovo; Lenovo A2016a40; A2016a40; mt6735; tr_TR))
Android (23/6.0; 213dpi; 480x854; Prestigio; PSP3527DUO; TE50B6G; c173_tmk_021; tr_TR;
Android (23/6.0.1; 320dpi; 720x1184; motorola; Moto G Play; harpia; qcom; tr_TR;
Android (24/7.0; 480dpi; 1080x1812; HUAWEI/HONOR; NEM-L51; HNNEM-H; hi6250; tr_TR;
Android (25/7.1.1; 480dpi; 1080x1920; Meizu; PRO 6; PRO6; mt6797; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; Xiaomi; Redmi 3S; land; qcom; tr_TR;
Android (23/6.0.1; 480dpi; 1080x1920; Xiaomi; Redmi 4; markw; qcom; tr_TR;
Android (24/7.0; 280dpi; 1200x1920; samsung; SM-T585; gtaxllte; samsungexynos7870; tr_TR;
Android (17/4.2.2; 240dpi; 480x854; Fly; IQ456; IQ456; mt6572; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-G930F; herolte; samsungexynos8890; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Xiaomi; Redmi Note 4X; nikel; mt6797; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Meizu; M5 Note; M5Note; mt6755; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-G930F; herolte; samsungexynos8890; tr_TR;
Android (22/5.1.1; 480dpi; 1080x1920; Xiaomi; Mi-4c; libra; qcom; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; HTC/htc; HTC U Play; htc_alpine_dugl; mt6755; tr_TR;
Android (22/5.1; 320dpi; 720x1184; HUAWEI; HUAWEI TIT-U02; HWTIT-U6582; mt6582; tr_TR;
Android (23/6.0; 320dpi; 720x1280; Meizu; MEIZU_M5; MEIZU_M5; mt6755; tr_TR;
Android (23/6.0.1; 480dpi; 1080x1920; Xiaomi; Redmi Note 3; kate; qcom; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-A510F; a5xelte; samsungexynos7580; tr_TR;
Android (22/5.1.1; 320dpi; 720x1280; samsung; SM-J320H; j3x3g; sc8830; tr_TR;
Android (21/5.0.2; 240dpi; 480x782; LGE/lge; LG-D335; luv80ds; luv80ds; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Meizu; PRO 6; PRO6; mt6797; tr_TR;
Android (16/4.1.2; 240dpi; 540x960; HTC/htc; HTC Desire 600 dual sim; cp3dug; cp3dug; tr_TR;
Android (21/5.0.1; 320dpi; 720x1184; HUAWEI/Huawei; ALE-L21; hwALE-H; hi6210sft; tr_TR;
Android (23/6.0.1; 480dpi; 1080x1920; Xiaomi; Redmi 4; markw; qcom; tr_TR;
Android (26/8.0.0; 480dpi; 1080x1920; Xiaomi; MI 6; sagit; qcom; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-J701F; j7velte; samsungexynos7870; tr_TR;
Android (24/7.0; 440dpi; 1080x1920; Xiaomi; MI MAX; hydrogen; qcom; tr_TR;
